id,number,name,description,numCredits,numCredits,numCredits
3504,ENSCI 424A,Air Pollution: Air quality and effects of pollutants,1 cr. per module. Module A prereq for all modules; module B prereq for D and E.,,1,1
3505,ENSCI 424B,Air Pollution: Climate change and causes,1 cr. per module. Module A prereq for all modules; module B prereq for D and E.,,1,1
3506,ENSCI 424C,Air Pollution: Transportation Air Quality,,,1,1
3507,ENSCI 424D,Air Pollution: Off-gas treatment technology,1 cr. per module. Module A prereq for all modules; module B prereq for D and E.,,1,1
3508,ENSCI 424E,Air Pollution: Agricultural sources of pollution,1 cr. per module. Module A prereq for all modules; module B prereq for D and E.,,1,1
3509,ENSCI 426,Stable Isotopes in the Environment,"Introduction to the theory, methods and applications of stable isotopes. Primary focus on the origin, natural abundance, and fractionation of carbon, hydrogen, oxygen, nitrogen isotopes. Applications of isotopic occurrence for elucidation of physical, chemical, biological, and environmental processes. Effects of plant physiology, photosynthesis, trophic structure, diffusion, evaporation, chemical precipitation, soil and atmospheric processes, and environmental factors on isotope abundance.",,3,3
3510,ENSCI 431,Design and Evaluation of Soil and Water Conservation Systems,"Hydrology and hydraulics in agricultural and urbanizing watersheds.  Design and evaluation of systems for the conservation and quality preservation of soil and water resources.   Use and analysis of hydrologic data in engineering design; relationship of topography, soils, crops, climate, and cultural practices in conservation and quality preservation of soil and water for agriculture.  Small watershed hydrology, water movement and utilization in the soil-plant-atmosphere system, agricultural water management, best management practices, and agricultural water quality.",,3,3
3511,ENSCI 446,Integrating GPS and GIS for Natural Resource Management,Emphasis on the use of GPS as a data collection tool for GIS. Basic theory of GPS. Use of Global Positioning System technology for spatial data collection and navigation. Post-processing and real-time correction of GPS data. GPS data transfer to GIS for mapping applications. Use of GIS to construct waypoints for use in GPS navigation.,,3,3
3512,ENSCI 451,Applied and Environmental Geophysics,"Seismic, gravity, magnetic, resistivity, electromagnetic, and ground-penetrating radar techniques for shallow subsurface investigations and imaging. Data interpretation methods. Lab emphasizes computer interpretation packages. Field work with seismic - and resistivity-imaging systems and radar.",,3,3
3513,ENSCI 452,GIS for Geoscientists,Introduction to geographic information systems (GIS) with particular emphasis on geoscientific data. Uses ESRI's ArcGIS Desktop Software and extension modules. Emphasizes typical GIS operations and analyses in the geosciences to prepare students for advanced GIS courses.,,3,3
3514,ENSCI 459,Environmental Soil and Water Chemistry,"An introduction to the chemical properties of soils, chemical reactions and transformations in soils and surface waters, and their impact on the environment. Topics include solution chemistry in soils and surface waters, solid-phase composition of soils, reactions at the solid-solution interface, and applications to contemporary environmental issues.",,4,4
3515,ENSCI 461I,Introduction to GIS,"Descriptive and predictive GIS modeling techniques, spatial statistics, and map algebra. Application of GIS   modeling techniques to environmental planning and resource management.",,4,4
3516,ENSCI 463,Soil Formation and Landscape Relationships,"Relationships between soil formation, geomorphology, and environment. Soil description, classification, geography, mapping, and interpretation for land use. Two weekend field trips.   Credit for one of AGRON 463 or AGRON 463I may be applied for graduation.",,4,4
3517,ENSCI 463I,Soil Formation and Landscape Relationships,"Relationships between soil formation, geomorphology, and environment. Soil description, classification, geography, mapping, and interpretation for land use.   Credit for only Agron 563 or 563I may be applied for graduation.",,4,4
3518,ENSCI 464,Wetland Ecology,"Ecology, classification, creation and restoration, and management of wetlands.  Emphasis on North American temperate wetlands.",,3,3
3519,ENSCI 466,Ecosystem Service Management,"Land use and conservation techniques for improving ecosystem services including: pollination of crops, biological control of pests, prevention of erosion and water quality improvement.",,3,3
3520,ENSCI 477,Soil Physics,"The physical soil system: the soil components and their physical interactions; transport processes involving water, air, and heat.",,3,3
3521,ENSCI 479,Surficial Processes,"The study of physical processes that shape Earth's surface. Topics include weathering, sediment transport, and landform genesis with emphasis on fluvial, glacial, hillslope, eolian, and coastal processes. Applications to engineering and environmental problems. Laboratory includes topographic map interpretation and local field trips.",,3,3
3522,ENSCI 480,Engineering Analysis of Biological Systems,Systems-level engineering analysis of biological systems. Economic and life-cycle analysis of bioresource production and conversion systems. Global energy and resource issues and the role of biologically derived materials in addressing these issues.,,3,3
3523,ENSCI 484,Ecosystem Ecology,"Introduction of the study of ecosystems and the biological and physical factors that influence their properties and dynamics. Conceptual foundations for ecosystem studies. Interactions among organisms, biological diversity, and ecosystem attributes. Quantitative analyses of accumulations, transformations, and fluxes of nutrients, water, and energy within and among ecosystems. Global change issues.",,3,3
3524,ENSCI 485,Soil and Environmental Microbiology,"The living organisms in the soil and what they do. Emphasis on soil biota composition, the carbon cycle and bioremediation, soil-plant-microbial relationships, and environmental issues.",,3,3
3525,ENSCI 486,Aquatic Ecology,"Structure and function of aquatic ecosystems with application to fishery and pollution problems. Emphasis on lacustrine, riverine, and wetland ecology.",,3,3
