id,number,name,description,prereqs,numCredits,departmentID
3015,"E E 432","Microelectronics Fabrication Techniques","Techniques used in modern integrated circuit fabrication, including diffusion, oxidation, ion implantation, lithography, evaporation, sputtering, chemical-vapor deposition, and etching. Process integration. Process evaluation and final device testing. Extensive laboratory exercises utilizing fabrication methods to build electronic devices. Use of computer simulation tools for predicting processing outcomes. Recent advances in processing CMOS ICs and micro-electro-mechanical systems (MEMS).","credit or enrollment in E E 332",4,57
3016,"E E 435","Analog VLSI Circuit Design","Basic analog integrated circuit and system design including design space exploration, performance enhancement strategies, operational amplifiers, references, integrated filters, and data converters.","E E 324, E E 330, E E 332, and either E E 322 or STAT 330",4,57
3017,"E E 438","Optoelectronic Devices and Applications","Transmission and reflection of electromagnetic plane waves. Propagation in dielectric and fiber optic waveguides. LED and laser operating principles and applications. Photodetectors and solar cells. Optical modulation and switching.","E E 311, E E 332",3,57
3018,"E E 439",Nanoelectronics,"Concepts of quantum mechanics relevant to nanoelectronic devices, including quantization, tunneling, and transport; overview of some of the leading technologies for nanoelectronics, including carbon nanotubes, quantum dots, and molecular transistors; fabrication methods for building nanoelectronic devices.","E E 332 or MAT E 334",3,57
3019,"E E 442","Introduction to Circuits and Instruments","Half-semester course. Basic circuit analysis using network theorems with time domain and Laplace   transform techniques for resistive, resistive-inductive, resistive-capacitive, and resistive-  inductive-capacitive circuits. Transient circuit behavior. Basic operational amplifiers and   applications. Familiarization with common E E instrumentation and demonstration of basic   principles.   Credit for only 201 or 442 may be counted toward graduation; credit for 442 will not count toward graduation for E E or Cpr E majors.","PHYS 222, MATH 267",2,57
3020,"E E 448","Introduction to AC Circuits and Motors","Half-semester course. Basics of DC machines, stepper motors, AC induction motors, and synchronous generators. AC steady state analysis, transformers, and three-phase circuit analysis.","E E 442",2,57
3021,"E E 451","Engineering Acoustics","Properties of sounds waves and noise metrics (pressure, power levels, etc). Sound sources and propagation. Principles of wave propagation in one-, two-, and three-dimensions. Wave reflection and transmission. Wave propagation in rectangular, cylindrical, and annular ducts. Acoustics fields for model noise sources. Introduction to aerodynamic noise sources in aircraft, aircraft engines, and wind turbines. Selected laboratory experiments.","PHYS 221 and MATH 266 or MATH 267",3,57
3022,"E E 452","Electrical Machines and Power Electronic Drives","Basic concepts of electromagnetic energy conversion. DC motors and three-phase induction motors. Basic introduction to power electronics. Adjustable speed drives used for control of DC, induction, and AC motors. Experiments with converter topologies, DC motors, AC motors and adjustable speed drives.","E E 303, E E 324",3,57
3023,"E E 455","Introduction to Energy Distribution Systems","Overhead and underground distribution system descriptions and characteristics, load descriptions and characteristics, overhead line and underground cable models, distribution transformers, power flow and fault analysis, overcurrent protection, power factor correction, system planning and automation, and economics in a deregulated environment.","E E 303, credit or registration in E E 324",3,57
3024,"E E 456","Power System Analysis I","Power transmission lines and transformers, synchronous machine modeling, network analysis, power system representation, load flow.","E E 303, credit or registration in E E 324",3,57
3025,"E E 457","Power System Analysis II","Power system protection, symmetrical components, faults, stability. Power system operations including the new utility environment.","E E 303, credit or registration in E E 324",3,57
